,id,pl,uk,false_friends,orthographic_sim,predictions
476,477,dziewiętnaście,осінь,2,0,0
477,478,czeluść,так,2,0,0
478,479,list,дякую,2,0,0
479,480,słowo,перепрошую,2,0,0
480,481,sierpień,добраніч,2,0,0
481,482,świt,я,2,0,0
482,483,zapomnieć,ми,2,0,0
483,484,miesiąc,ти,2,0,0
484,485,znać,ви,2,0,0
485,486,pisarz,вони,2,0,0
486,487,śpiewać,добре,2,0,0
487,488,świat,син,2,0,0
488,489,stół,потяг,2,0,0
489,490,upominać,автобус,2,0,0
490,491,górny,метро,2,0,0
491,492,sobota,паспорт,2,0,1
492,493,ciężki,далеко,2,0,0
493,494,las,близько,2,0,1
494,495,nadzieja,один,2,0,0
495,496,prosto,два,2,0,0
496,497,wyspa,три,2,0,0
497,498,mord,чотири,2,0,0
498,499,pociąg,п’ять,2,0,0
499,500,pogrzeb,шість,2,0,0
500,501,owoc,сім,2,0,0
501,502,syn,вісім,2,0,0
502,503,jasny,дев’ять,2,0,0
503,504,grudzień,десять,2,0,0
504,505,poruszyć,одинадцять,2,0,0
505,506,niski,дванадцять,2,0,0
506,507,telefon,тринадцять,2,0,0
507,508,celować,чотирнадцять,2,0,0
508,509,wniosek,п’ятнадцять,2,0,0
509,510,liczba,шістнадцять,2,0,0
510,511,kozaki,сімнадцять,2,0,0
511,512,kwas,вісімнадцять,2,0,0
512,513,gotować,дев’ятнадцять,2,0,0
513,514,most,двадцять,2,0,0
514,515,dziesięć,тридцять,2,0,0
515,516,trzysta,п’ятдесят,2,0,0
516,517,garnitur,шістдесят,2,0,0
517,518,zalotny,сімдесят,2,0,0
518,519,nowy,вісімдесят,2,0,0
519,520,piątek,сто,2,0,0
520,521,biegun,двісті,2,0,0
521,522,uważać,триста,2,0,0
522,523,głowa,чотириста,2,0,0
523,524,dosadny,п’ятсот,2,0,0
524,525,dziękuję,тисяча,2,0,0
525,526,pieniądz,мільйон,2,0,0
526,527,garbus,молоко,2,0,0
527,528,światło,сонце,2,0,0
528,529,ciepły,ріка,2,0,0
529,530,broń,дерево,2,0,0
530,531,rachować,вода,2,0,0
531,532,okno,хліб,2,0,0
532,533,robić,ніч,2,0,0
533,534,chwila,кіт,2,0,0
534,535,pacan,міст,2,0,0
535,536,młodzieniec,школа,2,0,0
536,537,śniadanie,стіл,2,0,0
537,538,chwast,вулиця,2,0,0
538,539,awantura,місто,2,0,0
539,540,zbroja,дім,2,0,0
540,541,luty,рука,2,0,0
541,542,sól,квітка,2,0,0
543,544,przypadek,готель,2,0,0
544,545,być,бути,2,0,0
545,546,gruby,робити,2,0,0
546,547,graty,мовити,2,0,0
547,548,bagno,ходити,2,0,0
548,549,kawa,їсти,2,0,0
549,550,płeć,пити,2,0,1
550,551,żołądek,писати,2,0,0
551,552,soplе,читати,2,0,0
552,553,woda,розуміти,2,0,0
553,554,obradować,вчитися,2,0,0
554,555,sutki,працювати,2,0,0
555,556,szyna,слухати,2,0,1
556,557,toczyć,знати,2,0,0
557,558,dobranoc,купувати,2,0,0
558,559,tydzień,продавати,2,0,0
559,560,pyszny,розпочинати,2,0,0
560,561,oddychać,подорожувати,2,0,0
561,562,hurma,запрошувати,2,0,0
562,563,zły,відповідати,2,0,0
563,564,mecz,питати,2,0,0
564,565,magazyn,приходити,2,0,0
565,566,rękaw,відвідувати,2,0,0
566,567,śruba,шукати,2,0,0
567,568,szczęśliwy,дзвонити,2,0,0
568,569,pisać,співати,2,0,1
569,570,praska,танцювати,2,0,0
570,571,styczeń,готувати,2,0,0
571,572,zawód,грати,2,0,0
572,573,spisek,сміятися,2,0,0
573,574,sklep,мити,2,0,0
574,575,piętnaście,фарбувати,2,0,0
575,576,ssać,будувати,2,0,0
576,577,dziecko,ходити,2,0,0
577,578,włosy,спати,2,0,0
578,579,siedem,вставати,2,0,0
579,580,przyjaciel,сидіти,2,0,0
580,581,dom,малий,2,0,0
581,582,czwartek,новий,2,0,0
582,583,woń,старий,2,0,0
583,584,piwnica,свіжий,2,0,0
584,585,smukła,гарячий,2,0,0
585,586,grać,високий,2,0,0
586,587,krowa,низький,2,0,0
587,588,siedzieć,сильний,2,0,0
588,589,obóz,слабкий,2,0,0
589,590,krysia,повільний,2,0,0
590,591,tak,щасливий,2,0,0
591,592,koń,добрий,2,0,0
592,593,oś,теплий,2,0,0
593,594,bidło,тяжкий,2,0,0
594,595,siedemdziesiąt,ясний,2,0,0
596,597,sposobność,тонкий,2,0,0
597,598,metro,брудний,2,0,0
598,599,nagły,смачний,2,0,0
599,600,milion,здоровий,2,0,0
600,601,jeść,хворий,2,0,0
601,602,odpowiadać,молодий,2,0,0
602,603,zimny,око,2,0,0
603,604,imię,серце,2,0,0
604,605,taras,книга,2,0,0
605,606,spać,сторінка,2,0,0
606,607,miłość,нічліг,2,0,0
607,608,noc,дитятко,2,0,0
608,609,środa,вік,2,0,0
610,611,dywan,кінь,2,0,0
611,612,kolejka,голова,2,0,1
612,613,siedemnaście,камінь,2,0,0
613,614,kończyna,біль,2,0,0
614,615,związek,надія,2,0,0
615,616,mówić,волосся,2,0,0
616,617,przychodzić,кров,2,0,0
617,618,urok,різниця,2,0,0
618,619,rok,рукав,2,0,1
619,620,mylny,вікно,2,0,0
620,621,groza,приятель,2,0,0
621,622,cierpienie,лист,2,0,0
622,623,jętka,світ,2,0,0
623,624,mięso,слово,2,0,0
624,625,różnica,море,2,0,0
625,626,lubieżny,гора,2,0,0
626,627,grzbiet,ліс,2,0,0
627,628,marzenie,поле,2,0,0
628,629,pięć,дзвінок,2,0,0
629,630,bajka,телефон,2,0,0
630,631,solny,пригода,2,0,0
631,632,trzonek,світло,2,0,0
632,633,wysoki,ангельський,2,0,1
633,634,naczynie,гарбуз,2,0,0
634,635,czytać,байка,2,0,0
635,636,ubić,звірʼя,2,0,0
636,637,błąd,бубон,2,0,0
637,638,wrzesień,бидло,2,0,0
638,639,kamień,блуд,2,0,0
639,640,tysiąc,богатир,2,0,0
640,641,awans,броня,2,0,0
641,642,luźny,буфет,2,0,0
643,644,przyszły,цілувати,2,0,0
644,645,kopać,хвиля,2,0,0
645,646,kwiecień,тяжа,2,0,0
646,647,czerwiec,тіснина,2,0,0
647,648,owad,цурка,2,0,0
648,649,dewizy,хвіст,2,0,0
649,650,wygodny,хвіст,2,0,0
650,651,piłka nożna,чашка,2,0,0
651,652,celnik,чоловік,2,0,1
652,653,trzon,цвях,2,0,0
653,654,rosół,диня,2,0,0
654,655,brudny,диван,2,0,0
655,656,składka,гарбуз,2,0,0
656,657,ssaki,ґедзь,2,0,0
657,658,pole,гніт,2,0,0
658,659,budować,грудка,2,0,1
659,660,parobek,ґрати,2,0,0
660,661,dokonać,громада,2,0,0
661,662,czternaście,хребет,2,0,0
662,663,tykać,гвіздок,2,0,0
663,664,konieczny,гутництво,2,0,0
664,665,znaczek,ятка,2,0,0
665,666,zasób,язик,2,0,0
666,667,trzy,казати,2,0,0
667,668,córka,кіт,2,0,0
668,669,jedenaście,колія,2,0,0
669,670,muzyka,колійний,2,0,0
670,671,pięćset,колісниця,2,0,0
671,672,powolny,кончина,2,0,0
672,673,sto,країна,2,0,0
673,674,napój,край,2,0,0
674,675,mały,кров,2,0,0
675,676,zakon,крісло,2,0,0
676,677,bok,кроль,2,0,0
677,678,ból,квас,2,0,0
678,679,dzwonić,ласка,2,0,0
679,680,niedziela,лічити,2,0,0
680,681,pamiętnik,лічба,2,0,0
681,682,farbować,лось,2,0,0
683,684,nietoperz,жилетка,2,0,0
684,685,angielski ,марення,2,0,0
685,686,stradać,матка,2,0,0
686,687,ogród,меч,2,0,0
687,688,pensja,меч,2,0,0
688,689,łagodny,милість,2,0,0
689,690,sprawdzić,мотлох,2,0,0
690,691,gorący,начиння,2,0,0
691,692,śmietanka,нетопир,2,0,0
692,693,laska,невідомий,2,0,0
693,694,sprzedawać,обоз,2,0,0
694,695,dwa,відділ,2,0,0
696,697,stracić,вогонь,2,0,0
697,698,udział,город,2,0,0
698,699,gniot,ось,2,0,0
699,700,miasto,овід,2,0,0
700,701,ryk,овоч,2,0,0
701,702,przepraszam,памʼятник,2,0,0
702,703,podatny,панство,2,0,1
703,704,ryba,парубок,2,0,1
705,706,tańczyć,пироги,2,0,0
706,707,giez,писар,2,0,0
707,708,dwanaście,плазуни,2,0,0
708,709,aktualny,плече,2,0,0
709,710,kwiat,плечі,2,0,0
710,711,bratanek,плита,2,0,0
712,713,ty,погріб,2,0,0
713,714,pojazd,поїзд,2,0,1
714,715,biesiada,пилка,2,0,0
715,716,ogniwo,поточний,2,0,0
716,717,gracz,турбувати,2,0,0
717,718,ja,повість,2,0,0
718,719,młody,праска,2,0,0
719,720,sześćdziesiąt,припадок,2,0,0
721,722,wiosna,пушка,2,0,0
722,723,zasada,розсіл,2,0,0
723,724,książka,ридван,2,0,0
724,725,silny,складка,2,0,0
725,726,osada,склеп,2,0,0
727,728,osiem,спілкуватися,2,0,0
730,731,plecy,страта,2,0,0
731,732,osiemdziesiąt,стратити,2,0,0
732,733,duma,стрільба,2,0,0
733,734,ulica,стрічка,2,0,0
734,735,gadać,світ,2,0,0
735,736,szary,шари,2,0,1
736,737,los,щиголь,2,0,0
737,738,państwo,щока,2,0,0
738,739,wczoraj,щит,2,0,0
739,740,głaz,штука,2,0,0
740,741,mleko,шина,2,0,0
741,742,że,шуруп,2,0,0
742,743,dziewięć,табір,2,0,0
743,744,zwierzę,талер,2,0,0
744,745,oddział,тонший,2,0,0
745,746,krew,трон,2,0,0
747,748,rano,уділ,2,0,0
748,749,pracować,урок,2,0,0
750,751,blacha,волоський,2,0,0
751,752,gomółkaгомілка,висновок,2,0,0
752,753,błoto,рубель,2,0,0
753,754,chleb,віспа,2,0,0
754,755,listopad,засіб,2,0,0
755,756,czaszka,завод,2,0,0
757,758,działo,зброя,2,0,0
758,759,arbuz,збиток,2,0,0
759,760,niewidomy,же,2,0,0
760,761,chełm,злий,2,0,0
761,762,gromada,значок,2,0,0
762,763,cztery,жолудь,2,0,0
763,764,odwiedzać,звʼязок,2,0,0
765,766,jeden,аванс,2,0,0
767,768,hotel,болото,2,0,0
768,769,włoski,багно,2,0,0
769,770,trawnik,бидло,2,0,0
770,771,wróbel,бігун,2,0,0
771,772,hutnictwo,бесіда,2,0,0
772,773,żelazko,бляха,2,0,0
773,774,rozumieć,бік,2,0,0
774,775,wzór,братик,2,0,0
775,776,granatowy,братик,2,0,1
776,777,żyletka,терпіння,2,0,0
777,778,nocleg,холм,2,0,1
778,779,wąż,часами,2,0,0
780,781,zbrodnia,чубчик,2,0,0
781,782,my,чхати,2,0,0
782,783,puszka,чин,2,0,0
784,785,brązowy,дума,2,0,0
785,786,szukać,діло,2,0,0
786,787,kraj,депутат,2,0,0
787,788,sztuka,девізи,2,0,0
789,790,ciemny,держава,2,0,0
790,791,czubek,фара,2,0,0
791,792,pozorny,гадати,2,0,0
792,793,trzynaście,гарнітур,2,0,0
793,794,mieć,глаз,2,0,0
794,795,dzwonek,гірний,2,0,0
795,796,kit,грач,2,0,0
796,797,ćwiek,гранатовий,2,0,0
797,798,szczęka,гроза,2,0,0
798,799,motłoch,гривня,2,0,0
799,800,drzewo,хурма,2,0,0
800,801,baczyć,кінцевий,2,0,0
801,802,grzywna,корали,2,0,0
802,803,szesnaście,козаки,2,0,1
804,805,magazynek,любʼязний,2,0,0
805,806,człowiek,магазин,2,0,0
806,807,malarz,магазинчик,2,0,1
809,810,dwieście,морда,2,0,0
810,811,matka,мильний,2,0,0
