,id,pl,uk,false_friends
171,172,imię,ім'я,0
172,173,koń,кінь,0
173,174,głowa,голова,0
174,175,kamień,камінь,0
175,176,ból,біль,0
176,177,nadzieja,надія,0
177,178,włosy,волосся,0
178,179,krew,кров,0
179,180,różnica,різниця,0
180,181,rękaw,рукав,0
181,182,okno,вікно,0
182,183,przyjaciel,приятель,0
183,184,list,лист,0
184,185,świat,світ,0
185,186,słowo,слово,0
186,187,morze,море,0
187,188,góra,гора,0
188,189,las,ліс,0
189,190,pole,поле,0
190,191,dzwonek,дзвінок,0
191,192,telefon,телефон,0
192,193,przygoda,пригода,0
193,194,światło,світло,0
194,195,angielski ,ангельський,1
195,196,arbuz,гарбуз,1
196,197,bajka,байка,1
197,198,zwierzę,звірʼя,1
198,199,bęben,бубон,1
199,200,bidło,бидло,1
200,201,błąd,блуд,1
201,202,bohater,богатир,1
202,203,broń,броня,1
203,204,bufet,буфет,1
204,205,celnik,цільник,1
205,206,celować,цілувати,1
206,207,chwila,хвиля,1
207,208,ciąża,тяжа,1
208,209,cieśnina,тіснина,1
209,210,córka,цурка,1
210,211,chwast,хвіст,1
211,212,chwost,хвіст,1
212,213,czaszka,чашка,1
213,214,człowiek,чоловік,1
214,215,ćwiek,цвях,1
215,216,dynia,диня,1
216,217,dywan,диван,1
217,218,garbus,гарбуз,1
218,219,giez,ґедзь,1
219,220,gniot,гніт,1
220,221,gomółkaгомілка,грудка,1
221,222,graty,ґрати,1
222,223,gromada,громада,1
223,224,grzbiet,хребет,1
224,225,gwiazda,гвіздок,1
225,226,hutnictwo,гутництво,1
226,227,jętka,ятка,1
227,228,język,язик,1
228,229,kazać,казати,1
229,230,kit,кіт,1
230,231,kolejka,колія,1
231,232,kolejny,колійний,1
232,233,koleśnica,колісниця,1
233,234,kończyna,кончина,1
234,235,kraina,країна,1
235,236,kraj,край,1
236,237,krowa,кров,1
237,238,krzesło,крісло,1
238,239,król,кроль,1
239,240,kwas,квас,1
240,241,laska,ласка,1
241,242,leczyć,лічити,1
242,243,liczba,лічба,1
243,244,los,лось,1
244,245,łyżwy,лижі,1
245,246,żyletka,жилетка,1
246,247,marzenie,марення,1
247,248,matka,матка,1
248,249,mecz,меч,1
249,250,mieć,меч,1
250,251,miłość,милість,1
251,252,motłoch,мотлох,1
252,253,naczynie,начиння,1
253,254,nietoperz,нетопир,1
254,255,niewidomy,невідомий,1
255,256,obóz,обоз,1
256,257,oddział,відділ,1
257,258,ogniwo,огниво,1
258,259,ogon,вогонь,1
259,260,ogród,город,1
260,261,oś,ось,1
261,262,owad,овід,1
262,263,owoc,овоч,1
263,264,pamiętnik,памʼятник,1
264,265,państwo,панство,1
265,266,parobek,парубок,1
266,267,pieniądz,пенязь,1
267,268,pierogi,пироги,1
268,269,pisarz,писар,1
269,270,płazy,плазуни,1
270,271,płeć,плече,1
271,272,plecy,плечі,1
272,273,płyta,плита,1
273,274,podatny,податний,1
274,275,pogrzeb,погріб,1
275,276,pojazd,поїзд,1
276,277,półka,пілка,1
277,278,potoczny,поточний,1
278,279,poturbować,потурбувати,1
279,280,powieść,повість,1
280,281,praska,праска,1
281,282,przypadek,припадок,1
282,283,przyszły,прийшлий,1
283,284,puszka,пушка,1
284,285,rosół,розсіл,1
285,286,rydwan,ридван,1
286,287,składka,складка,1
287,288,sklep,склеп,1
288,289,słynny,слинний,1
289,290,spółkować,спілкуватися,1
290,291,sprawdzić,справдити,1
291,292,stos,стіс,1
292,293,strata,страта,1
293,294,stracić,стратити,1
294,295,strzelba,стрільба,1
295,296,stryczek,стрічка,1
296,297,świt,світ,1
297,298,szary,шари,1
298,299,szczegół,щиголь,1
299,300,szczęka,щока,1
300,301,szczyt,щит,1
301,302,sztuka,штука,1
302,303,szyna,шина,1
303,304,śruba,шуруп,1
304,305,tabor,табір,1
305,306,talerz,талер,1
306,307,tańszy,тонший,1
307,308,trzon,трон,1
308,309,trzonek,троник,1
309,310,udział,уділ,1
310,311,urok,урок,1
311,312,wąż,вуж,1
312,313,włoski,волоський,1
313,314,wniosek,висновок,1
314,315,wróbel,рубель,1
315,316,wyspa,віспа,1
316,317,zasób,засіб,1
317,318,zawód,завод,1
318,319,zbrodnia,збрід,1
319,320,zbroja,зброя,1
320,321,zbyt,збиток,1
321,322,że,же,1
322,323,zły,злий,1
323,324,znaczek,значок,1
324,325,żołądek,жолудь,1
325,326,związek,звʼязок,1
326,327,adidasy,адідаси,1
327,328,awans,аванс,1
328,329,awantura,авантюра,1
329,330,błoto,болото,1
330,331,bagno,багно,1
331,332,bydło,бидло,1
332,333,biegun,бігун,1
333,334,biesiada,бесіда,1
334,335,blacha,бляха,1
335,336,bok,бік,1
336,337,bratanek,братанчик,1
337,338,bratanica,братанчик,1
338,339,cierpienie,терпіння,1
339,340,chełm,холм,1
340,341,czasami,часами,1
341,342,czeluść,челюсть,1
342,343,czubek,чубчик,1
343,344,czyhać,чхати,1
344,345,czyn,чин,1
345,346,dosadny,досадний,1
346,347,duma,дума,1
347,348,działo,діло,1
348,349,deputat,депутат,1
349,350,dewizy,девізи,1
350,351,dokonać,доконати,1
351,352,dzierżawa,держава,1
352,353,fara,фара,1
353,354,gadać,гадати,1
354,355,garnitur,гарнітур,1
355,356,głaz,глаз,1
356,357,górny,гірний,1
357,358,gracz,грач,1
358,359,granatowy,гранатовий,1
359,360,groza,гроза,1
360,361,grzywna,гривня,1
361,362,hurma,хурма,1
362,363,konieczny,кінцевий,1
363,364,korale,корали,1
364,365,kozaki,козаки,1
365,366,krysia,криса,1
366,367,lubieżny,любʼязний,1
367,368,magazyn,магазин,1
368,369,magazynek,магазинчик,1
369,370,malarz,маляр,1
370,371,młodzieniec,младенець,1
371,372,mord,морда,1
372,373,mylny,мильний,1
373,374,nagły,наглий,1
374,375,obradować,порадувати,1
375,376,oddychać,відпочивати,1
376,377,ołów,олово,1
377,378,osada,осада,1
378,379,ożóg,ожог,1
379,380,pacan,пацан,1
380,381,pensja,пенсія,1
381,382,pień,пень,1
382,383,piłka,пилка,1
383,384,piłka nożna, ножна пилка,1
384,385,piwnica,пивниця,1
385,386,pluton,плутон,1
386,387,postradać,постраждати,1
387,388,pozorny,позорний,1
388,389,prosto,просто,1
389,390,pukać,пукати,1
390,391,rozerwać się,розірватися,1
391,392,rozkaz,розказ,1
392,393,ryk,рик,1
393,394,smukła,смугла,1
394,395,soplе,соплі,1
395,396,spisek,список,1
396,397,sposobność,способність,1
397,398,spotykać się,спотикатися,1
398,399,ssać,ссати,1
399,400,ssaki,саки,1
400,401,sutki,сутки,1
401,402,szał,шаль,1
402,403,śmietanka,сметанка,1
403,404,taras,тарас,1
404,405,trawnik,травник,1
405,406,tykać,тикати,1
406,407,ubić,вбити,1
407,408,upominać,споминати,1
408,409,uważać,поважати,1
409,410,woń,вонь,1
410,411,wygodny,вигідний,1
411,412,wzór,взір,1
412,413,wzwód,взвод,1
413,414,zabieg,забіг,1
414,415,zakon,закон,1
415,416,zalotny,зальотний,1
416,417,zapomnieć,запамʼятати,1
417,418,zasada,засідка,1
418,419,zasnuć,заснути,1
419,420,zimny,зимовий,1
420,421,żelazko,залізяка,1
421,422,gruby,грубий,1
422,423,aktualny,актуальний,1
423,424,brązowy,бронзовий,1
424,425,korzystny,корисний,1
425,426,łagodny,лагідний,1
426,427,luźny,лужний,1
427,428,pyszny,пишний,1
428,429,prawdziwy,правдивий,1
429,430,przystojny,пристойний,1
430,431,solny,сольний,1
431,432,baczyć,бачити,1
432,433,kopać,копати,1
433,434,obrachować,обрахувати,1
434,435,poruszyć,порушити,1
435,436,porwać,порвати,1
436,437,sapać,сапати,1
437,438,toczyć,точити,1
438,439,przystojny,сніданок,2
439,440,adidasy,вегетаріанський,2
440,441,zabieg,напій,2
441,442,uczyć się,кава,2
442,443,dynia,сік,2
443,444,osiemnaście,вода,2
444,445,myć,пиво,2
445,446,słynny,вино,2
446,447,słuchać,сіль,2
447,448,rzeka,м’ясо,2
448,449,jesień,риба,2
449,450,prawdziwy,десерт,2
450,451,stary,час,2
451,452,poniedziałek,година,2
452,453,dobrze,ранок,2
453,454,język,день,2
454,455,serce,вчора,2
455,456,piłka,тиждень,2
456,457,fara,місяць,2
457,458,półka,рік,2
458,459,chodzić,понеділок,2
459,460,deser,вівторок,2
460,461,pukać,середа,2
461,462,czyn,четвер,2
462,463,słońce,п’ятниця,2
463,464,blisko,субота,2
464,465,król,неділя,2
465,466,szkoła,січень,2
466,467,kot,лютий,2
467,468,świeży,квітень,2
468,469,autobus,червень,2
469,470,ręka,липень,2
470,471,pięćdziesiąt,серпня,2
471,472,sok,вересень,2
472,473,cienki,листопад,2
473,474,strzelba,грудень,2
474,475,stos,весна,2
475,476,czasami,літо,2
476,477,dziewiętnaście,осінь,2
477,478,czeluść,так,2
478,479,list,дякую,2
479,480,słowo,перепрошую,2
480,481,sierpień,добраніч,2
481,482,świt,я,2
482,483,zapomnieć,ми,2
483,484,miesiąc,ти,2
484,485,znać,ви,2
485,486,pisarz,вони,2
486,487,śpiewać,добре,2
487,488,świat,син,2
488,489,stół,потяг,2
489,490,upominać,автобус,2
490,491,górny,метро,2
491,492,sobota,паспорт,2
492,493,ciężki,далеко,2
493,494,las,близько,2
494,495,nadzieja,один,2
495,496,prosto,два,2
496,497,wyspa,три,2
497,498,mord,чотири,2
498,499,pociąg,п’ять,2
499,500,pogrzeb,шість,2
500,501,owoc,сім,2
501,502,syn,вісім,2
502,503,jasny,дев’ять,2
503,504,grudzień,десять,2
504,505,poruszyć,одинадцять,2
505,506,niski,дванадцять,2
506,507,telefon,тринадцять,2
507,508,celować,чотирнадцять,2
508,509,wniosek,п’ятнадцять,2
509,510,liczba,шістнадцять,2
510,511,kozaki,сімнадцять,2
511,512,kwas,вісімнадцять,2
512,513,gotować,дев’ятнадцять,2
513,514,most,двадцять,2
514,515,dziesięć,тридцять,2
515,516,trzysta,п’ятдесят,2
516,517,garnitur,шістдесят,2
517,518,zalotny,сімдесят,2
518,519,nowy,вісімдесят,2
519,520,piątek,сто,2
520,521,biegun,двісті,2
521,522,uważać,триста,2
522,523,głowa,чотириста,2
523,524,dosadny,п’ятсот,2
524,525,dziękuję,тисяча,2
525,526,pieniądz,мільйон,2
526,527,garbus,молоко,2
527,528,światło,сонце,2
528,529,ciepły,ріка,2
529,530,broń,дерево,2
530,531,obrachować,вода,2
531,532,okno,хліб,2
532,533,robić,ніч,2
533,534,chwila,кіт,2
534,535,pacan,міст,2
535,536,młodzieniec,школа,2
536,537,śniadanie,стіл,2
537,538,chwast,вулиця,2
538,539,awantura,місто ,2
539,540,zbroja,дім ,2
540,541,luty,рука ,2
541,542,sól,квітка ,2
542,543,rozerwać się,музика ,2
543,544,przypadek,готель,2
544,545,być,бути,2
545,546,gruby,робити,2
546,547,graty,мовити,2
547,548,bagno,ходити,2
548,549,kawa,їсти,2
549,550,płeć,пити,2
550,551,żołądek,писати,2
551,552,soplе,читати,2
552,553,woda,розуміти,2
553,554,obradować,вчитися,2
554,555,sutki,працювати,2
555,556,szyna,слухати,2
556,557,toczyć,знати,2
557,558,dobranoc,купувати,2
558,559,tydzień,продавати,2
559,560,pyszny,розпочинати,2
560,561,oddychać,подорожувати,2
561,562,hurma,запрошувати,2
562,563,zły,відповідати,2
563,564,mecz,питати,2
564,565,magazyn,приходити,2
565,566,rękaw,відвідувати),2
566,567,śruba,шукати,2
567,568,szczęśliwy,дзвонити,2
568,569,pisać,співати,2
569,570,praska,танцювати,2
570,571,styczeń,готувати,2
571,572,zawód,грати,2
572,573,spisek,сміятися,2
573,574,sklep,мити,2
574,575,piętnaście,фарбувати,2
575,576,ssać,будувати,2
576,577,dziecko,ходити,2
577,578,włosy,спати,2
578,579,siedem,вставати,2
579,580,przyjaciel,сидіти,2
580,581,dom,малий,2
581,582,czwartek,новий,2
582,583,woń,старий,2
583,584,piwnica,свіжий,2
584,585,smukła,гарячий,2
585,586,grać,високий,2
586,587,krowa,низький,2
587,588,siedzieć,сильний,2
588,589,obóz,слабкий,2
589,590,krysia,повільний,2
590,591,tak,щасливий,2
591,592,koń,добрий,2
592,593,oś,теплий,2
593,594,bidło,тяжкий,2
594,595,siedemdziesiąt,ясний,2
595,596,zasnuć,темний,2
596,597,sposobność,тонкий,2
597,598,metro,брудний,2
598,599,nagły,смачний,2
599,600,milion,здоровий,2
600,601,jeść,хворий,2
601,602,odpowiadać,молодий,2
602,603,zimny,око,2
603,604,imię,серце,2
604,605,taras,книга,2
605,606,spać,сторінка,2
606,607,miłość,нічліг,2
607,608,noc,дитятко,2
608,609,środa,вік,2
609,610,chodzić,ім'я,2
610,611,dywan,кінь,2
611,612,kolejka,голова,2
612,613,siedemnaście,камінь,2
613,614,kończyna,біль,2
614,615,związek,надія,2
615,616,mówić,волосся,2
616,617,przychodzić,кров,2
617,618,urok,різниця,2
618,619,rok,рукав,2
619,620,mylny,вікно,2
620,621,groza,приятель,2
621,622,cierpienie,лист,2
622,623,jętka,світ,2
623,624,mięso,слово,2
624,625,różnica,море,2
625,626,lubieżny,гора,2
626,627,grzbiet,ліс,2
627,628,marzenie,поле,2
628,629,pięć,дзвінок,2
629,630,bajka,телефон,2
630,631,solny,пригода,2
631,632,trzonek,світло,2
632,633,wysoki,ангельський,2
633,634,naczynie,гарбуз,2
634,635,czytać,байка,2
635,636,ubić,звірʼя,2
636,637,błąd,бубон,2
637,638,wrzesień,бидло,2
638,639,kamień,блуд,2
639,640,tysiąc,богатир,2
640,641,awans,броня,2
641,642,luźny,буфет,2
642,643,wy,цільник,2
643,644,przyszły,цілувати,2
644,645,kopać,хвиля,2
645,646,kwiecień,тяжа,2
646,647,czerwiec,тіснина,2
647,648,owad,цурка,2
648,649,dewizy,хвіст,2
649,650,wygodny,хвіст,2
650,651,piłka nożna,чашка,2
651,652,celnik,чоловік,2
652,653,trzon,цвях,2
653,654,rosół,диня,2
654,655,brudny,диван,2
655,656,składka,гарбуз,2
656,657,ssaki,ґедзь,2
657,658,pole,гніт,2
658,659,budować,грудка,2
659,660,parobek,ґрати,2
660,661,dokonać,громада,2
661,662,czternaście,хребет,2
662,663,tykać,гвіздок,2
663,664,konieczny,гутництво,2
664,665,znaczek,ятка,2
665,666,zasób,язик,2
666,667,trzy,казати,2
667,668,córka,кіт,2
668,669,jedenaście,колія,2
669,670,muzyka,колійний,2
670,671,pięćset,колісниця,2
671,672,powolny,кончина,2
672,673,sto,країна,2
673,674,napój,край,2
674,675,mały,кров,2
675,676,zakon,крісло,2
676,677,bok,кроль,2
677,678,ból,квас,2
678,679,dzwonić,ласка,2
679,680,niedziela,лічити,2
680,681,pamiętnik,лічба,2
681,682,farbować,лось,2
682,683,sapać,лижі,2
683,684,nietoperz,жилетка,2
684,685,angielski ,марення,2
685,686,postradać,матка,2
686,687,ogród,меч,2
687,688,pensja,меч,2
688,689,łagodny,милість,2
689,690,sprawdzić,мотлох,2
690,691,gorący,начиння,2
691,692,śmietanka,нетопир,2
692,693,laska,невідомий,2
693,694,sprzedawać,обоз,2
694,695,dwa,відділ,2
695,696,bęben,огниво,2
696,697,stracić,вогонь,2
697,698,udział,город,2
698,699,gniot,ось,2
699,700,miasto,овід,2
700,701,ryk,овоч,2
701,702,przepraszam,памʼятник,2
702,703,podatny,панство,2
703,704,ryba,парубок,2
704,705,szczyt,пенязь,2
705,706,tańczyć,пироги,2
706,707,giez,писар,2
707,708,dwanaście,плазуни,2
708,709,aktualny,плече,2
709,710,kwiat,плечі,2
710,711,bratanek,плита,2
711,712,pić,податний,2
712,713,ty,погріб,2
713,714,pojazd,поїзд,2
714,715,biesiada,пілка,2
715,716,ogniwo,поточний,2
716,717,gracz,потурбувати,2
717,718,ja,повість,2
718,719,młody,праска,2
719,720,sześćdziesiąt,припадок,2
720,721,rozpoczynać,прийшлий,2
721,722,wiosna,пушка,2
722,723,zasada,розсіл,2
723,724,książka,ридван,2
724,725,silny,складка,2
725,726,osada,склеп,2
726,727,zbyt,слинний,2
727,728,osiem,спілкуватися,2
728,729,szał,справдити,2
729,730,oni,стіс,2
730,731,plecy,страта,2
731,732,osiemdziesiąt,стратити,2
732,733,duma,стрільба,2
733,734,ulica,стрічка,2
734,735,gadać,світ,2
735,736,szary,шари,2
736,737,los,щиголь,2
737,738,państwo,щока,2
738,739,wczoraj,щит,2
739,740,głaz,штука,2
740,741,mleko,шина,2
741,742,że,шуруп,2
742,743,dziewięć,табір,2
743,744,zwierzę,талер,2
744,745,oddział,тонший,2
745,746,krew,трон,2
746,747,zapraszać,троник,2
747,748,rano,уділ,2
748,749,pracować,урок,2
749,750,poturbować,вуж,2
750,751,blacha,волоський,2
751,752,gomółkaгомілка,висновок,2
752,753,błoto,рубель,2
753,754,chleb,віспа,2
754,755,listopad,засіб,2
755,756,czaszka,завод,2
756,757,rydwan,збрід,2
757,758,działo,зброя,2
758,759,arbuz,збиток,2
759,760,niewidomy,же,2
760,761,chełm,злий,2
761,762,gromada,значок,2
762,763,cztery,жолудь,2
763,764,odwiedzać,звʼязок,2
764,765,talerz,адідаси,2
765,766,jeden,аванс,2
766,767,spotykać się,авантюра,2
767,768,hotel,болото,2
768,769,włoski,багно,2
769,770,trawnik,бидло,2
770,771,wróbel,бігун,2
771,772,hutnictwo,бесіда,2
772,773,żelazko,бляха,2
773,774,rozumieć,бік,2
774,775,wzór,братанчик,2
775,776,granatowy,братанчик,2
776,777,żyletka,терпіння,2
777,778,nocleg,холм,2
778,779,wąż,часами,2
779,780,wegetarianin,челюсть,2
780,781,zbrodnia,чубчик,2
781,782,my,чхати,2
782,783,puszka,чин,2
783,784,strona,досадний,2
784,785,brązowy,дума,2
785,786,szukać,діло,2
786,787,kraj,депутат,2
787,788,sztuka,девізи,2
788,789,deputat,доконати,2
789,790,ciemny,держава,2
790,791,czubek,фара,2
791,792,pozorny,гадати,2
792,793,trzynaście,гарнітур,2
793,794,mieć,глаз,2
794,795,dzwonek,гірний,2
795,796,kit,грач,2
796,797,ćwiek,гранатовий,2
797,798,szczęka,гроза,2
798,799,motłoch,гривня,2
799,800,drzewo,хурма,2
800,801,baczyć,кінцевий,2
801,802,grzywna,корали,2
802,803,szesnaście,козаки,2
803,804,spółkować,криса,2
804,805,magazynek,любʼязний,2
805,806,człowiek,магазин,2
806,807,malarz,магазинчик,2
807,808,koleśnica,маляр,2
808,809,oko,младенець,2
809,810,dwieście,морда,2
810,811,matka,мильний,2
811,812,pierogi,наглий,2
812,813,strata,порадувати,2
813,814,stryczek,відпочивати,2
814,815,krzesło,олово,2
815,816,ożóg,осада,2
816,817,morze,ожог,2
817,818,chory,пацан,2
818,819,smaczny,пенсія,2
819,820,bratanica,пень,2
820,821,bohater,пилка,2
821,822,szczegół, ножна пилка,2
822,823,korzystny,пивниця,2
823,824,chwost,плутон,2
824,825,bufet,постраждати,2
825,826,daleko,позорний,2
826,827,powieść,просто,2
827,828,dzierżawa,пукати,2
828,829,łyżwy,розірватися,2
829,830,cieśnina,розказ,2
830,831,lato,рик,2
831,832,rozkaz,смугла,2
832,833,trzydzieści,соплі,2
833,834,porwać,список,2
834,835,dobry,способність,2
835,836,ogon,спотикатися,2
836,837,bydło,ссати,2
837,838,pluton,саки,2
838,839,piwo,сутки,2
839,840,woda,шаль,2
840,841,gwiazda,сметанка,2
841,842,dzień,тарас,2
842,843,zdrowy,травник,2
843,844,lipiec,тикати,2
844,845,wzwód,вбити,2
845,846,sześć,споминати,2
846,847,leczyć,поважати,2
847,848,ciąża,вонь,2
848,849,czterysta,вигідний,2
849,850,ołów,взір,2
850,851,pytać,взвод,2
851,852,tańszy,забіг,2
852,853,potoczny,закон,2
853,854,wino,зальотний,2
854,855,kraina,запамʼятати,2
855,856,korale,засідка,2
856,857,kupować,заснути,2
857,858,wtorek,зимовий,2
858,859,płyta,залізяка,2
859,860,godzina,грубий,2
860,861,paszport,актуальний,2
861,862,góra,бронзовий,2
862,863,płazy,корисний,2
863,864,czas,лагідний,2
864,865,kolejny,лужний,2
865,866,kazać,пишний,2
866,867,tabor,правдивий,2
867,868,przygoda,пристойний,2
868,869,wiek,сольний,2
869,870,wstawać,бачити,2
870,871,śmiać się,копати,2
871,872,pień,обрахувати,2
872,873,podróżować,порушити,2
873,874,czyhać,порвати,2
874,875,dwadzieścia,сапати,2
875,876,słaby,точити,2
