id,id,pl,uk,false-friends
424,425,korzystny,корисний,1
425,426,łagodny,лагідний,1
426,427,luźny,лужний,1
427,428,pyszny,пишний,1
428,429,prawdziwy,правдивий,1
429,430,przystojny,пристойний,1
430,431,solny,сольний,1
431,432,baczyć,бачити,1
432,433,kopać,копати,1
433,434,obrachować,обрахувати,1
434,435,poruszyć,порушити,1
435,436,porwać,порвати,1
436,437,sapać,сапати,1
