,Unnamed: 0,id,pl,uk,false_friends,predictions
244,244,245,łyżwy,лижі,1,0
245,245,246,żyletka,жилетка,1,1
246,246,247,marzenie,марення,1,1
247,247,248,matka,матка,1,1
248,248,249,mecz,меч,1,1
249,249,250,mieć,меч,1,1
250,250,251,miłość,милість,1,1
251,251,252,motłoch,мотлох,1,1
252,252,253,naczynie,начиння,1,1
253,253,254,nietoperz,нетопир,1,1
254,254,255,niewidomy,невідомий,1,1
255,255,256,obóz,обоз,1,1
256,256,257,oddział,відділ,1,1
257,257,258,ogniwo,огниво,1,1
258,258,259,ogon,вогонь,1,1
259,259,260,ogród,город,1,1
260,260,261,oś,ось,1,1
261,261,262,owad,овід,1,1
262,262,263,owoc,овоч,1,1
263,263,264,pamiętnik,памʼятник,1,0
264,264,265,państwo,панство,1,1
265,265,266,parobek,парубок,1,1
266,266,267,pieniądz,пенязь,1,1
267,267,268,pierogi,пироги,1,1
268,268,269,pisarz,писар,1,1
269,269,270,płazy,плазуни,1,1
270,270,271,płeć,плече,1,1
271,271,272,plecy,плечі,1,1
272,272,273,płyta,плита,1,1
273,273,274,podatny,податний,1,1
274,274,275,pogrzeb,погріб,1,1
275,275,276,pojazd,поїзд,1,1
276,276,277,półka,пілка,1,1
277,277,278,potoczny,поточний,1,1
278,278,279,poturbować,потурбувати,1,1
279,279,280,powieść,повість,1,1
280,280,281,praska,праска,1,1
281,281,282,przypadek,припадок,1,1
282,282,283,przyszły,прийшлий,1,1
283,283,284,puszka,пушка,1,1
284,284,285,rosół,розсіл,1,1
285,285,286,rydwan,ридван,1,1
286,286,287,składka,складка,1,1
287,287,288,sklep,склеп,1,1
288,288,289,słynny,слинний,1,1
289,289,290,spółkować,спілкуватися,1,1
290,290,291,sprawdzić,справдити,1,1
291,291,292,stos,стіс,1,1
292,292,293,strata,страта,1,1
293,293,294,stracić,стратити,1,1
294,294,295,strzelba,стрільба,1,1
295,295,296,stryczek,стрічка,1,1
296,296,297,świt,світ,1,1
297,297,298,szary,шари,1,1
298,298,299,szczegół,щиголь,1,1
299,299,300,szczęka,щока,1,1
300,300,301,szczyt,щит,1,1
301,301,302,sztuka,штука,1,1
302,302,303,szyna,шина,1,1
303,303,304,śruba,шуруп,1,1
304,304,305,tabor,табір,1,1
305,305,306,talerz,талер,1,1
306,306,307,tańszy,тонший,1,1
307,307,308,trzon,трон,1,1
308,308,309,trzonek,троник,1,1
309,309,310,udział,уділ,1,1
310,310,311,urok,урок,1,1
311,311,312,wąż,вуж,1,0
312,312,313,włoski,волоський,1,1
313,313,314,wniosek,висновок,1,1
314,314,315,wróbel,рубель,1,1
315,315,316,wyspa,віспа,1,1
316,316,317,zasób,засіб,1,1
317,317,318,zawód,завод,1,1
318,318,319,zbrodnia,збрід,1,1
319,319,320,zbroja,зброя,1,1
320,320,321,zbyt,збиток,1,1
321,321,322,że,же,1,1
322,322,323,zły,злий,1,1
323,323,324,znaczek,значок,1,1
324,324,325,żołądek,жолудь,1,1
325,325,326,związek,звʼязок,1,0
326,326,327,adidasy,адідаси,1,1
327,327,328,awans,аванс,1,1
328,328,329,awantura,авантюра,1,1
329,329,330,błoto,болото,1,1
330,330,331,bagno,багно,1,1
331,331,332,bydło,бидло,1,1
332,332,333,biegun,бігун,1,1
333,333,334,biesiada,бесіда,1,1
334,334,335,blacha,бляха,1,1
335,335,336,bok,бік,1,1
336,336,337,bratanek,братанчик,1,1
337,337,338,bratanica,братанчик,1,1
338,338,339,cierpienie,терпіння,1,1
339,339,340,chełm,холм,1,1
340,340,341,czasami,часами,1,1
341,341,342,czeluść,челюсть,1,1
342,342,343,czubek,чубчик,1,1
343,343,344,czyhać,чхати,1,1
344,344,345,czyn,чин,1,1
345,345,346,dosadny,досадний,1,1
346,346,347,duma,дума,1,1
347,347,348,działo,діло,1,1
348,348,349,deputat,депутат,1,1
349,349,350,dewizy,девізи,1,1
350,350,351,dokonać,доконати,1,1
351,351,352,dzierżawa,держава,1,1
352,352,353,fara,фара,1,1
353,353,354,gadać,гадати,1,1
354,354,355,garnitur,гарнітур,1,1
355,355,356,głaz,глаз,1,1
356,356,357,górny,гірний,1,1
357,357,358,gracz,грач,1,1
358,358,359,granatowy,гранатовий,1,1
359,359,360,groza,гроза,1,1
360,360,361,grzywna,гривня,1,1
361,361,362,hurma,хурма,1,1
362,362,363,konieczny,кінцевий,1,1
363,363,364,korale,корали,1,1
364,364,365,kozaki,козаки,1,1
365,365,366,krysia,криса,1,1
366,366,367,lubieżny,любʼязний,1,0
367,367,368,magazyn,магазин,1,1
368,368,369,magazynek,магазинчик,1,1
369,369,370,malarz,маляр,1,1
370,370,371,młodzieniec,младенець,1,1
371,371,372,mord,морда,1,1
372,372,373,mylny,мильний,1,1
373,373,374,nagły,наглий,1,1
374,374,375,obradować,порадувати,1,1
375,375,376,oddychać,відпочивати,1,1
376,376,377,ołów,олово,1,1
377,377,378,osada,осада,1,1
378,378,379,ożóg,ожог,1,1
379,379,380,pacan,пацан,1,1
380,380,381,pensja,пенсія,1,1
381,381,382,pień,пень,1,1
382,382,383,piłka,пилка,1,1
383,383,384,piłka nożna, ножна пилка,1,0
384,384,385,piwnica,пивниця,1,1
385,385,386,pluton,плутон,1,1
386,386,387,postradać,постраждати,1,1
387,387,388,pozorny,позорний,1,1
388,388,389,prosto,просто,1,1
389,389,390,pukać,пукати,1,1
390,390,391,rozerwać się,розірватися,1,1
391,391,392,rozkaz,розказ,1,1
392,392,393,ryk,рик,1,0
393,393,394,smukła,смугла,1,1
394,394,395,soplе,соплі,1,0
395,395,396,spisek,список,1,1
396,396,397,sposobność,способність,1,1
397,397,398,spotykać się,спотикатися,1,1
398,398,399,ssać,ссати,1,1
399,399,400,ssaki,саки,1,1
400,400,401,sutki,сутки,1,1
401,401,402,szał,шаль,1,1
402,402,403,śmietanka,сметанка,1,1
403,403,404,taras,тарас,1,1
404,404,405,trawnik,травник,1,1
405,405,406,tykać,тикати,1,1
406,406,407,ubić,вбити,1,1
407,407,408,upominać,споминати,1,1
408,408,409,uważać,поважати,1,1
409,409,410,woń,вонь,1,1
410,410,411,wygodny,вигідний,1,1
411,411,412,wzór,взір,1,1
412,412,413,wzwód,взвод,1,1
413,413,414,zabieg,забіг,1,1
414,414,415,zakon,закон,1,1
415,415,416,zalotny,зальотний,1,1
416,416,417,zapomnieć,запамʼятати,1,0
417,417,418,zasada,засідка,1,1
418,418,419,zasnuć,заснути,1,1
419,419,420,zimny,зимовий,1,1
420,420,421,żelazko,залізяка,1,0
421,421,422,gruby,грубий,1,1
422,422,423,aktualny,актуальний,1,1
423,423,424,brązowy,бронзовий,1,1
424,424,425,korzystny,корисний,1,1
425,425,426,łagodny,лагідний,1,1
426,426,427,luźny,лужний,1,1
427,427,428,pyszny,пишний,1,1
428,428,429,prawdziwy,правдивий,1,1
429,429,430,przystojny,пристойний,1,1
430,430,431,solny,сольний,1,1
431,431,432,baczyć,бачити,1,1
432,432,433,kopać,копати,1,1
433,433,434,obrachować,обрахувати,1,1
434,434,435,poruszyć,порушити,1,1
435,435,436,porwać,порвати,1,1
436,436,437,sapać,сапати,1,1
437,437,438,toczyć,точити,1,1
438,438,439,przystojny,сніданок,2,0
439,439,440,adidasy,вегетаріанський,2,1
440,440,441,zabieg,напій,2,0
441,441,442,uczyć się,кава,2,0
442,442,443,dynia,сік,2,0
443,443,444,osiemnaście,вода,2,0
444,444,445,myć,пиво,2,0
445,445,446,słynny,вино,2,0
446,446,447,słuchać,сіль,2,1
447,447,448,rzeka,м’ясо,2,0
448,448,449,jesień,риба,2,0
449,449,450,prawdziwy,десерт,2,0
450,450,451,stary,час,2,0
451,451,452,poniedziałek,година,2,1
452,452,453,dobrze,ранок,2,0
453,453,454,język,день,2,0
454,454,455,serce,вчора,2,0
455,455,456,piłka,тиждень,2,0
456,456,457,fara,місяць,2,0
457,457,458,półka,рік,2,0
458,458,459,chodzić,понеділок,2,0
459,459,460,deser,вівторок,2,0
460,460,461,pukać,середа,2,0
461,461,462,czyn,четвер,2,0
462,462,463,słońce,п’ятниця,2,0
463,463,464,blisko,субота,2,0
464,464,465,król,неділя,2,0
465,465,466,szkoła,січень,2,0
466,466,467,kot,лютий,2,0
467,467,468,świeży,квітень,2,0
468,468,469,autobus,червень,2,0
469,469,470,ręka,липень,2,0
470,470,471,pięćdziesiąt,серпня,2,0
471,471,472,sok,вересень,2,0
472,472,473,cienki,листопад,2,0
473,473,474,strzelba,грудень,2,0
474,474,475,stos,весна,2,0
475,475,476,czasami,літо,2,0
476,476,477,dziewiętnaście,осінь,2,0
477,477,478,czeluść,так,2,0
478,478,479,list,дякую,2,0
479,479,480,słowo,перепрошую,2,0
480,480,481,sierpień,добраніч,2,0
481,481,482,świt,я,2,0
482,482,483,zapomnieć,ми,2,0
483,483,484,miesiąc,ти,2,0
484,484,485,znać,ви,2,0
485,485,486,pisarz,вони,2,0
486,486,487,śpiewać,добре,2,0
487,487,488,świat,син,2,1
488,488,489,stół,потяг,2,0
489,489,490,upominać,автобус,2,0
490,490,491,górny,метро,2,0
491,491,492,sobota,паспорт,2,0
492,492,493,ciężki,далеко,2,0
493,493,494,las,близько,2,1
494,494,495,nadzieja,один,2,0
495,495,496,prosto,два,2,0
496,496,497,wyspa,три,2,0
497,497,498,mord,чотири,2,0
498,498,499,pociąg,п’ять,2,1
499,499,500,pogrzeb,шість,2,0
500,500,501,owoc,сім,2,0
501,501,502,syn,вісім,2,0
502,502,503,jasny,дев’ять,2,0
503,503,504,grudzień,десять,2,0
504,504,505,poruszyć,одинадцять,2,0
505,505,506,niski,дванадцять,2,0
506,506,507,telefon,тринадцять,2,0
507,507,508,celować,чотирнадцять,2,1
508,508,509,wniosek,п’ятнадцять,2,0
509,509,510,liczba,шістнадцять,2,0
510,510,511,kozaki,сімнадцять,2,0
511,511,512,kwas,вісімнадцять,2,0
512,512,513,gotować,дев’ятнадцять,2,0
513,513,514,most,двадцять,2,0
514,514,515,dziesięć,тридцять,2,0
515,515,516,trzysta,п’ятдесят,2,0
516,516,517,garnitur,шістдесят,2,0
517,517,518,zalotny,сімдесят,2,0
518,518,519,nowy,вісімдесят,2,0
519,519,520,piątek,сто,2,0
520,520,521,biegun,двісті,2,0
521,521,522,uważać,триста,2,0
522,522,523,głowa,чотириста,2,0
523,523,524,dosadny,п’ятсот,2,0
524,524,525,dziękuję,тисяча,2,0
525,525,526,pieniądz,мільйон,2,0
526,526,527,garbus,молоко,2,0
527,527,528,światło,сонце,2,0
528,528,529,ciepły,ріка,2,0
529,529,530,broń,дерево,2,1
530,530,531,obrachować,вода,2,0
531,531,532,okno,хліб,2,0
532,532,533,robić,ніч,2,1
533,533,534,chwila,кіт,2,0
534,534,535,pacan,міст,2,0
535,535,536,młodzieniec,школа,2,0
536,536,537,śniadanie,стіл,2,0
537,537,538,chwast,вулиця,2,0
538,538,539,awantura,місто ,2,0
539,539,540,zbroja,дім ,2,0
540,540,541,luty,рука ,2,0
541,541,542,sól,квітка ,2,0
542,542,543,rozerwać się,музика ,2,0
543,543,544,przypadek,готель,2,0
544,544,545,być,бути,2,1
545,545,546,gruby,робити,2,1
546,546,547,graty,мовити,2,0
547,547,548,bagno,ходити,2,0
548,548,549,kawa,їсти,2,0
549,549,550,płeć,пити,2,0
550,550,551,żołądek,писати,2,0
551,551,552,soplе,читати,2,0
552,552,553,woda,розуміти,2,0
553,553,554,obradować,вчитися,2,0
554,554,555,sutki,працювати,2,0
555,555,556,szyna,слухати,2,0
556,556,557,toczyć,знати,2,1
557,557,558,dobranoc,купувати,2,1
558,558,559,tydzień,продавати,2,0
559,559,560,pyszny,розпочинати,2,0
560,560,561,oddychać,подорожувати,2,1
561,561,562,hurma,запрошувати,2,0
562,562,563,zły,відповідати,2,0
563,563,564,mecz,питати,2,0
564,564,565,magazyn,приходити,2,0
565,565,566,rękaw,відвідувати),2,0
566,566,567,śruba,шукати,2,1
567,567,568,szczęśliwy,дзвонити,2,0
568,568,569,pisać,співати,2,1
569,569,570,praska,танцювати,2,0
570,570,571,styczeń,готувати,2,0
571,571,572,zawód,грати,2,0
572,572,573,spisek,сміятися,2,0
573,573,574,sklep,мити,2,0
574,574,575,piętnaście,фарбувати,2,0
575,575,576,ssać,будувати,2,0
576,576,577,dziecko,ходити,2,0
577,577,578,włosy,спати,2,0
578,578,579,siedem,вставати,2,0
579,579,580,przyjaciel,сидіти,2,0
580,580,581,dom,малий,2,0
581,581,582,czwartek,новий,2,0
582,582,583,woń,старий,2,0
583,583,584,piwnica,свіжий,2,0
584,584,585,smukła,гарячий,2,0
585,585,586,grać,високий,2,0
586,586,587,krowa,низький,2,0
587,587,588,siedzieć,сильний,2,0
588,588,589,obóz,слабкий,2,0
589,589,590,krysia,повільний,2,0
590,590,591,tak,щасливий,2,0
591,591,592,koń,добрий,2,0
592,592,593,oś,теплий,2,0
593,593,594,bidło,тяжкий,2,0
594,594,595,siedemdziesiąt,ясний,2,0
595,595,596,zasnuć,темний,2,0
596,596,597,sposobność,тонкий,2,0
597,597,598,metro,брудний,2,0
598,598,599,nagły,смачний,2,0
599,599,600,milion,здоровий,2,0
600,600,601,jeść,хворий,2,0
601,601,602,odpowiadać,молодий,2,0
602,602,603,zimny,око,2,0
603,603,604,imię,серце,2,0
604,604,605,taras,книга,2,0
605,605,606,spać,сторінка,2,0
606,606,607,miłość,нічліг,2,0
607,607,608,noc,дитятко,2,0
608,608,609,środa,вік,2,0
609,609,610,chodzić,ім'я,2,0
610,610,611,dywan,кінь,2,0
611,611,612,kolejka,голова,2,1
612,612,613,siedemnaście,камінь,2,0
613,613,614,kończyna,біль,2,0
614,614,615,związek,надія,2,0
615,615,616,mówić,волосся,2,0
616,616,617,przychodzić,кров,2,0
617,617,618,urok,різниця,2,0
618,618,619,rok,рукав,2,1
619,619,620,mylny,вікно,2,0
620,620,621,groza,приятель,2,0
621,621,622,cierpienie,лист,2,0
622,622,623,jętka,світ,2,0
623,623,624,mięso,слово,2,1
624,624,625,różnica,море,2,0
625,625,626,lubieżny,гора,2,0
626,626,627,grzbiet,ліс,2,0
627,627,628,marzenie,поле,2,0
628,628,629,pięć,дзвінок,2,0
629,629,630,bajka,телефон,2,0
630,630,631,solny,пригода,2,0
631,631,632,trzonek,світло,2,0
632,632,633,wysoki,ангельський,2,1
633,633,634,naczynie,гарбуз,2,0
634,634,635,czytać,байка,2,0
635,635,636,ubić,звірʼя,2,0
636,636,637,błąd,бубон,2,0
637,637,638,wrzesień,бидло,2,0
638,638,639,kamień,блуд,2,0
639,639,640,tysiąc,богатир,2,0
640,640,641,awans,броня,2,0
641,641,642,luźny,буфет,2,0
642,642,643,wy,цільник,2,0
643,643,644,przyszły,цілувати,2,0
644,644,645,kopać,хвиля,2,0
645,645,646,kwiecień,тяжа,2,0
646,646,647,czerwiec,тіснина,2,0
647,647,648,owad,цурка,2,0
648,648,649,dewizy,хвіст,2,0
649,649,650,wygodny,хвіст,2,0
650,650,651,piłka nożna,чашка,2,0
651,651,652,celnik,чоловік,2,1
652,652,653,trzon,цвях,2,0
653,653,654,rosół,диня,2,0
654,654,655,brudny,диван,2,0
655,655,656,składka,гарбуз,2,0
656,656,657,ssaki,ґедзь,2,0
657,657,658,pole,гніт,2,0
658,658,659,budować,грудка,2,1
659,659,660,parobek,ґрати,2,0
660,660,661,dokonać,громада,2,0
661,661,662,czternaście,хребет,2,0
662,662,663,tykać,гвіздок,2,0
663,663,664,konieczny,гутництво,2,0
664,664,665,znaczek,ятка,2,0
665,665,666,zasób,язик,2,0
666,666,667,trzy,казати,2,0
667,667,668,córka,кіт,2,0
668,668,669,jedenaście,колія,2,0
669,669,670,muzyka,колійний,2,0
670,670,671,pięćset,колісниця,2,0
671,671,672,powolny,кончина,2,0
672,672,673,sto,країна,2,0
673,673,674,napój,край,2,0
674,674,675,mały,кров,2,0
675,675,676,zakon,крісло,2,0
676,676,677,bok,кроль,2,0
677,677,678,ból,квас,2,0
678,678,679,dzwonić,ласка,2,0
679,679,680,niedziela,лічити,2,1
680,680,681,pamiętnik,лічба,2,0
681,681,682,farbować,лось,2,0
682,682,683,sapać,лижі,2,0
683,683,684,nietoperz,жилетка,2,0
684,684,685,angielski ,марення,2,0
685,685,686,postradać,матка,2,0
686,686,687,ogród,меч,2,0
687,687,688,pensja,меч,2,0
688,688,689,łagodny,милість,2,0
689,689,690,sprawdzić,мотлох,2,0
690,690,691,gorący,начиння,2,0
691,691,692,śmietanka,нетопир,2,0
692,692,693,laska,невідомий,2,0
693,693,694,sprzedawać,обоз,2,0
694,694,695,dwa,відділ,2,0
695,695,696,bęben,огниво,2,0
696,696,697,stracić,вогонь,2,0
697,697,698,udział,город,2,0
698,698,699,gniot,ось,2,0
699,699,700,miasto,овід,2,0
700,700,701,ryk,овоч,2,0
701,701,702,przepraszam,памʼятник,2,0
702,702,703,podatny,панство,2,1
703,703,704,ryba,парубок,2,0
704,704,705,szczyt,пенязь,2,0
705,705,706,tańczyć,пироги,2,0
706,706,707,giez,писар,2,0
707,707,708,dwanaście,плазуни,2,0
708,708,709,aktualny,плече,2,0
709,709,710,kwiat,плечі,2,0
710,710,711,bratanek,плита,2,0
711,711,712,pić,податний,2,0
712,712,713,ty,погріб,2,0
713,713,714,pojazd,поїзд,2,1
714,714,715,biesiada,пілка,2,0
715,715,716,ogniwo,поточний,2,0
716,716,717,gracz,потурбувати,2,1
717,717,718,ja,повість,2,0
718,718,719,młody,праска,2,0
719,719,720,sześćdziesiąt,припадок,2,0
720,720,721,rozpoczynać,прийшлий,2,1
721,721,722,wiosna,пушка,2,0
722,722,723,zasada,розсіл,2,0
723,723,724,książka,ридван,2,0
724,724,725,silny,складка,2,0
725,725,726,osada,склеп,2,0
726,726,727,zbyt,слинний,2,0
727,727,728,osiem,спілкуватися,2,0
728,728,729,szał,справдити,2,0
729,729,730,oni,стіс,2,0
730,730,731,plecy,страта,2,0
731,731,732,osiemdziesiąt,стратити,2,0
732,732,733,duma,стрільба,2,0
733,733,734,ulica,стрічка,2,0
734,734,735,gadać,світ,2,0
735,735,736,szary,шари,2,1
736,736,737,los,щиголь,2,0
737,737,738,państwo,щока,2,0
738,738,739,wczoraj,щит,2,0
739,739,740,głaz,штука,2,0
740,740,741,mleko,шина,2,0
741,741,742,że,шуруп,2,0
742,742,743,dziewięć,табір,2,0
743,743,744,zwierzę,талер,2,0
744,744,745,oddział,тонший,2,0
745,745,746,krew,трон,2,0
746,746,747,zapraszać,троник,2,0
747,747,748,rano,уділ,2,0
748,748,749,pracować,урок,2,0
749,749,750,poturbować,вуж,2,0
750,750,751,blacha,волоський,2,0
751,751,752,gomółkaгомілка,висновок,2,0
752,752,753,błoto,рубель,2,1
