,Unnamed: 0,id,pl,uk,false_friends,predictions,similarity_values,cos_sim
42,42,43,dobranoc,добраніч,0,1,0.8235294117647058,0.5229382989112689
43,43,44,ja,я,0,1,0.6666666666666666,0.42221211062007236
44,44,45,my,ми,0,1,0.5,0.4013618192223814
45,45,46,ty,ти,0,1,0.5,0.40209677894622586
46,46,47,wy,ви,0,1,0.5,0.43827986331116797
47,47,48,oni,вони,0,1,0.8571428571428571,0.6065345054658993
48,48,49,dobrze,добре,0,1,0.9090909090909092,0.6807844503234334
49,49,50,syn,син,0,1,0.6666666666666666,0.737007188683568
50,50,51,pociąg,потяг,0,1,0.8333333333333334,0.6463565875276933
51,51,52,autobus,автобус,0,1,0.8571428571428571,0.6450763375705459
52,52,53,metro,метро,0,1,1.0,0.5298413763817774
53,53,54,paszport,паспорт,0,1,0.9333333333333332,0.478053174018082
54,54,55,daleko,далеко,0,1,1.0,0.5616666017811771
55,55,56,blisko,близько,0,1,1.0,0.5347983688088259
56,56,57,jeden,один,0,1,0.4444444444444444,0.5674581976313287
57,57,58,dwa,два,0,1,1.0,0.6433974676036728
58,58,59,trzy,три,0,1,0.5714285714285714,0.6954673089952
59,59,60,cztery,чотири,0,1,0.6153846153846154,0.7218385143967065
60,60,61,pięć,п’ять,0,1,0.4444444444444444,0.49
61,61,62,sześć,шість,0,1,0.5454545454545454,0.8509622399370049
62,62,63,siedem,сім,0,1,0.6666666666666666,0.46668452685491496
63,63,64,osiem,вісім,0,1,0.6,0.8295598106689023
64,64,65,dziewięć,дев’ять,0,1,0.5333333333333333,0.49
65,65,66,dziesięć,десять,0,1,0.4,0.7991335084188849
66,66,67,jedenaście,одинадцять,0,1,0.4,0.7572394372290312
67,67,68,dwanaście,дванадцять,0,1,0.631578947368421,0.757375219451764
68,68,69,trzynaście,тринадцять,0,1,0.5,0.7356345167599394
69,69,70,czternaście,чотирнадцять,0,1,0.5833333333333334,0.6803291931173853
70,70,71,piętnaście,п’ятнадцять,0,1,0.4545454545454545,0.49
71,71,72,szesnaście,шістнадцять,0,1,0.5454545454545454,0.7340471456279374
72,72,73,siedemnaście,сімнадцять,0,1,0.5454545454545454,0.7172376822166355
73,73,74,osiemnaście,вісімнадцять,0,1,0.5217391304347826,0.7062771976085673
74,74,75,dziewiętnaście,дев’ятнадцять,0,1,0.5,0.49
75,75,76,dwadzieścia,двадцять,0,1,0.631578947368421,0.7025004437701603
76,76,77,trzydzieści,тридцять,0,1,0.4210526315789473,0.6956000642951418
77,77,78,pięćdziesiąt,п’ятдесят,0,1,0.5454545454545454,0.49
78,78,79,sześćdziesiąt,шістдесят,0,1,0.5833333333333334,0.5823702953277515
79,79,80,siedemdziesiąt,сімдесят,0,1,0.6956521739130435,0.6029578334197758
80,80,81,osiemdziesiąt,вісімдесят,0,1,0.6666666666666666,0.6210493220254976
81,81,82,sto,сто,0,1,1.0,0.6400408199615126
82,82,83,dwieście,двісті,0,1,0.7142857142857143,0.5774255469771928
83,83,84,trzysta,триста,0,1,0.7692307692307693,0.43873772984310055
84,84,85,czterysta,чотириста,0,1,0.7368421052631579,0.4713437295655851
86,86,87,tysiąc,тисяча,0,1,0.5714285714285714,0.6894036756870271
87,87,88,milion,мільйон,0,1,0.8333333333333334,0.7118231464247996
88,88,89,mleko,молоко,0,1,0.7272727272727273,0.6409861354734556
89,89,90,słońce,сонце,0,1,0.9090909090909092,0.6016019979910225
90,90,91,rzeka,ріка,0,1,0.6666666666666666,0.540670409425356
91,91,92,drzewo,дерево,0,1,1.0,0.6455260175187117
92,92,93,woda,вода,0,1,1.0,0.6940852510396331
93,93,94,chleb,хліб,0,1,0.4444444444444444,0.5545891546008018
94,94,95,noc,ніч,0,1,0.5714285714285714,0.5909314317959016
95,95,96,kot,кіт,0,1,0.6666666666666666,0.48332476480896835
96,96,97,most,міст,0,1,0.75,0.47132774869708477
97,97,98,szkoła,школа,0,1,0.7272727272727273,0.6105389093732273
98,98,99,stół,стіл,0,1,0.75,0.5025703865311518
99,99,100,ulica,вулиця,0,1,0.9090909090909092,0.6658407069863637
100,100,101,miasto,місто,0,1,0.9090909090909092,0.6234260013971001
101,101,102,dom,дім,0,1,0.6666666666666666,0.48016499139761093
102,102,103,ręka,рука,0,1,0.75,0.5862196609043641
104,104,105,muzyka,музика,0,1,0.8333333333333334,0.5897298246207427
105,105,106,hotel,готель,0,1,0.8,0.7459163954194238
107,107,108,robić,робити,0,1,0.7272727272727273,0.7500736144925874
108,108,109,mówić,мовити,0,1,0.7272727272727273,0.5262407062562611
109,109,110,chodzić,ходити,0,1,0.4615384615384615,0.7015095139601701
111,111,112,pić,пити,0,1,0.5714285714285714,0.7032060993831556
112,112,113,pisać,писати,0,1,0.7272727272727273,0.7676063274015693
113,113,114,czytać,читати,0,1,0.6153846153846154,0.6108571881733862
114,114,115,rozumieć,розуміти,0,1,0.7058823529411765,0.7465344710825385
116,116,117,pracować,працювати,0,1,0.8235294117647058,0.7741435929140861
117,117,118,słuchać,слухати,0,1,0.5714285714285714,0.7223482004901193
118,118,119,znać,знати,0,1,0.6666666666666666,0.6293960076085829
119,119,120,kupować,купувати,0,1,0.8,0.7567828015466928
120,120,121,sprzedawać,продавати,0,1,0.631578947368421,0.8181278803572231
121,121,122,rozpoczynać,розпочинати,0,1,0.6956521739130435,0.709505015245908
122,122,123,podróżować,подорожувати,0,1,0.6956521739130435,0.7707137083217441
123,123,124,zapraszać,запрошувати,0,1,0.6666666666666666,0.7333521387535855
124,124,125,odpowiadać,відповідати,0,1,0.8,0.6212975264593261
125,125,126,pytać,питати,0,1,0.5454545454545454,0.6914154757624795
126,126,127,przychodzić,приходити,0,1,0.5,0.6840909154684528
127,127,128,odwiedzać,відвідувати),0,1,0.631578947368421,0.49
128,128,129,szukać,шукати,0,1,0.7692307692307693,0.7173410375360892
129,129,130,dzwonić,дзвонити,0,1,0.8,0.7141861345425871
130,130,131,śpiewać,співати,0,1,0.7142857142857143,0.7931380086737769
131,131,132,tańczyć,танцювати,0,1,0.5,0.7579300204729689
132,132,133,gotować,готувати,0,1,0.8,0.6649374578410912
133,133,134,grać,грати,0,1,0.6666666666666666,0.7885292385553073
134,134,135,śmiać się,сміятися,0,1,0.5714285714285714,0.49
136,136,137,farbować,фарбувати,0,1,0.8235294117647058,0.49
137,137,138,budować,будувати,0,1,0.8,0.8035224037638267
138,138,139,chodzić,ходити,0,1,0.4615384615384615,0.7015095139601701
139,139,140,spać,спати,0,1,0.6666666666666666,0.6230881162002562
140,140,141,wstawać,вставати,0,1,0.8,0.6204790797087624
141,141,142,siedzieć,сидіти,0,1,0.6666666666666666,0.6758039272008752
142,142,143,mały,малий,0,1,1.0,0.5851063189460229
143,143,144,nowy,новий,0,1,0.6666666666666666,0.5991096823911104
144,144,145,stary,старий,0,1,1.0,0.5721747922715509
145,145,146,świeży,свіжий,0,1,0.6666666666666666,0.5495523077544422
146,146,147,gorący,гарячий,0,1,0.7692307692307693,0.6574823663239437
147,147,148,wysoki,високий,0,1,0.7692307692307693,0.6569450924587433
148,148,149,niski,низький,0,1,0.8,0.6089040204933639
149,149,150,silny,сильний,0,1,1.0,0.703675209890447
150,150,151,słaby,слабкий,0,1,0.6666666666666666,0.6715043997497508
151,151,152,powolny,повільний,0,1,0.8571428571428571,0.74689454843048
152,152,153,szczęśliwy,щасливий,0,1,0.9,0.6938141087721871
153,153,154,dobry,добрий,0,1,1.0,0.6011806598017486
154,154,155,ciepły,теплий,0,1,0.7272727272727273,0.5919602947084861
155,155,156,ciężki,тяжкий,0,1,0.4285714285714285,0.5448214823767081
156,156,157,jasny,ясний,0,1,0.8888888888888888,0.4926889224094613
157,157,158,ciemny,темний,0,1,0.7272727272727273,0.6159757009967827
158,158,159,cienki,тонкий,0,1,0.5,0.6758140631901466
159,159,160,brudny,брудний,0,1,1.0,0.6156338411864437
160,160,161,smaczny,смачний,0,1,1.0,0.6272653092266461
161,161,162,zdrowy,здоровий,0,1,0.7142857142857143,0.6844537545292102
162,162,163,chory,хворий,0,1,0.6,0.7179166653976938
163,163,164,młody,молодий,0,1,0.9090909090909092,0.6583179194495812
164,164,165,oko,око,0,1,1.0,0.5182268989891432
165,165,166,serce,серце,0,1,1.0,0.6268399815590937
166,166,167,książka,книга,0,1,0.4615384615384615,0.6417787819867637
167,167,168,strona,сторінка,0,1,0.7142857142857143,0.5221728037232757
168,168,169,nocleg,нічліг,0,1,0.6153846153846154,0.49918929948121377
169,169,170,dziecko,дитятко,0,1,0.5333333333333333,0.42240191815303213
170,170,171,wiek,вік,0,1,0.8571428571428571,0.5481459432889632
171,171,172,imię,ім'я,0,1,0.75,0.49
172,172,173,koń,кінь,0,1,0.6666666666666666,0.6310181250903272
173,173,174,głowa,голова,0,1,0.9090909090909092,0.4780494921511308
174,174,175,kamień,камінь,0,1,0.9090909090909092,0.6709720195759777
175,175,176,ból,біль,0,1,0.6666666666666666,0.6141751138319186
176,176,177,nadzieja,надія,0,1,0.7692307692307693,0.4797061332036074
177,177,178,włosy,волосся,0,1,0.6153846153846154,0.6656431726388287
178,178,179,krew,кров,0,1,0.5,0.6280100985978065
179,179,180,różnica,різниця,0,1,0.6666666666666666,0.6297063458412503
180,180,181,rękaw,рукав,0,1,0.8,0.46414882308776195
181,181,182,okno,вікно,0,1,0.6666666666666666,0.6260325729877771
182,182,183,przyjaciel,приятель,0,1,0.5882352941176471,0.655584533000968
183,183,184,list,лист,0,1,1.0,0.4519410972616874
184,184,185,świat,світ,0,1,0.8888888888888888,0.5758067504315737
185,185,186,słowo,слово,0,1,1.0,0.5895417216285981
186,186,187,morze,море,0,1,0.8888888888888888,0.6924117196838373
187,187,188,góra,гора,0,1,1.0,0.5300145156229896
188,188,189,las,ліс,0,1,0.6666666666666666,0.49015222120957147
189,189,190,pole,поле,0,1,1.0,0.43255896271659183
190,190,191,dzwonek,дзвінок,0,1,0.8571428571428571,0.43072213632411227
191,191,192,telefon,телефон,0,1,1.0,0.6851849241260882
192,192,193,przygoda,пригода,0,1,0.8,0.6136602337828863
193,193,194,światło,світло,0,1,0.9230769230769232,0.6877100845798745
194,194,195,angielski,ангельський,1,1,0.9411764705882352,0.255052314041538
195,195,196,arbuz,гарбуз,1,1,0.7272727272727273,0.45401252654006935
196,196,197,bajka,байка,1,1,0.6,0.4205631623792183
198,198,199,bęben,бубон,1,1,0.6,0.49830289524028903
199,199,200,bidło,бидло,1,1,0.8,0.23275708170295256
200,200,201,błąd,блуд,1,1,0.75,0.24271946107116982
201,201,202,bohater,богатир,1,1,0.7142857142857143,0.37819252324144154
202,202,203,broń,броня,1,1,0.8888888888888888,0.45896753071878416
203,203,204,bufet,буфет,1,1,1.0,0.6098172465350729
204,204,205,celnik,цільник,1,1,0.6666666666666666,0.49
205,205,206,celować,цілувати,1,1,0.6666666666666666,0.5111817920899935
206,206,207,chwila,хвиля,1,1,0.7272727272727273,0.2759027181826248
207,207,208,ciąża,тяжа,1,1,0.5454545454545454,0.278959961126069
208,208,209,cieśnina,тіснина,1,1,0.8,0.3321096313925964
209,209,210,córka,цурка,1,1,0.5454545454545454,0.2167729629962338
210,210,211,chwast,хвіст,1,1,0.5454545454545454,0.2762814551954579
211,211,212,chwost,хвіст,1,1,0.5454545454545454,0.2835190924897274
212,212,213,czaszka,чашка,1,1,0.7692307692307693,0.2409941753114822
213,213,214,człowiek,чоловік,1,1,0.875,0.30359608844376607
214,214,215,ćwiek,цвях,1,1,0.4,0.32038229064797
215,215,216,dynia,диня,1,1,0.6666666666666666,0.45352027565575426
216,216,217,dywan,диван,1,1,0.8,0.4188152245123121
217,217,218,garbus,гарбуз,1,1,1.0,0.2317331943787245
218,218,219,giez,ґедзь,1,1,0.6666666666666666,0.23614150486222366
219,219,220,gniot,гніт,1,1,0.8888888888888888,0.25889209855606654
220,220,221,gomółka,гомілка,1,1,0.8571428571428571,0.2294045884257371
221,221,222,graty,ґрати,1,1,0.8,0.2310716737363252
222,222,223,gromada,громада,1,1,1.0,0.1429664955788035
223,223,224,grzbiet,хребет,1,1,0.6153846153846154,0.5676024992580793
224,224,225,gwiazda,гвіздок,1,1,0.5714285714285714,0.19493660050354547
225,225,226,hutnictwo,гутництво,1,1,0.8888888888888888,0.4838125188172059
226,226,227,jętka,ятка,1,1,0.6666666666666666,0.251214783447063
227,227,228,język,язик,1,1,0.4444444444444444,0.23342862312224683
228,228,229,kazać,казати,1,1,0.7272727272727273,0.5513135735692644
229,229,230,kit,кіт,1,1,1.0,0.2778590967706238
230,230,231,kolejka,колія,1,1,0.6666666666666666,0.4367889027992453
231,231,232,kolejny,колійний,1,1,0.6666666666666666,0.27377653273995656
232,232,233,koleśnica,колісниця,1,1,0.8888888888888888,0.49
233,233,234,kończyna,кончина,1,1,0.75,0.12725706808532147
234,234,235,kraina,країна,1,1,1.0,0.39580990141600786
235,235,236,kraj,край,1,1,0.75,0.4011520204526445
236,236,237,krowa,кров,1,1,0.6666666666666666,0.23480197228775057
237,237,238,krzesło,крісло,1,1,0.5714285714285714,0.43018025259047254
238,238,239,król,кроль,1,1,0.75,0.2664788494949544
239,239,240,kwas,квас,1,1,1.0,0.35080525886743064
240,240,241,laska,ласка,1,1,1.0,0.11079563358446044
241,241,242,leczyć,лічити,1,1,0.4615384615384615,0.4895568515107558
242,242,243,liczba,лічба,1,1,1.0,0.30644414930031677
243,243,244,los,лось,1,1,0.8571428571428571,0.1547137251121288
245,245,246,żyletka,жилетка,1,1,0.6666666666666666,0.47241561856526737
246,246,247,marzenie,марення,1,1,0.6666666666666666,0.34677865588287465
247,247,248,matka,матка,1,1,1.0,0.26539789295448474
248,248,249,mecz,меч,1,1,1.0,0.09211994094166394
249,249,250,mieć,меч,1,1,0.4444444444444444,0.15382025487444817
250,250,251,miłość,милість,1,1,0.6153846153846154,0.41522627421643643
251,251,252,motłoch,мотлох,1,1,1.0,0.2900792765913176
252,252,253,naczynie,начиння,1,1,0.625,0.4106737259968649
253,253,254,nietoperz,нетопир,1,1,0.75,0.3744319946991843
254,254,255,niewidomy,невідомий,1,1,1.0,0.33596880286485103
255,255,256,obóz,обоз,1,1,0.75,0.3839544754936022
256,256,257,oddział,відділ,1,1,0.8333333333333334,0.4760088057145766
257,257,258,ogniwo,огниво,1,1,1.0,0.49
258,258,259,ogon,вогонь,1,1,0.8888888888888888,0.2642342613393261
259,259,260,ogród,город,1,1,0.8,0.2926182284673328
260,260,261,oś,ось,1,1,0.8,0.1758079431789389
261,261,262,owad,овід,1,1,0.75,0.18566220488454582
262,262,263,owoc,овоч,1,1,0.8888888888888888,0.37868254458659395
264,264,265,państwo,панство,1,1,1.0,0.32123878214344437
265,265,266,parobek,парубок,1,1,0.8571428571428571,0.45183625524322557
266,266,267,pieniądz,пенязь,1,1,0.7142857142857143,0.49
267,267,268,pierogi,пироги,1,1,0.9230769230769232,0.5199063337537034
268,268,269,pisarz,писар,1,1,0.9090909090909092,0.320381139584034
269,269,270,płazy,плазуни,1,1,0.5,0.6031042755588071
270,270,271,płeć,плече,1,1,0.5454545454545454,0.21976138539391069
271,271,272,plecy,плечі,1,1,0.8,0.4521313349211289
272,272,273,płyta,плита,1,1,0.8,0.36572281599399914
273,273,274,podatny,податний,1,1,1.0,0.49
274,274,275,pogrzeb,погріб,1,1,0.7692307692307693,0.1872011072378924
275,275,276,pojazd,поїзд,1,1,0.7272727272727273,0.5023000399919472
276,276,277,półka,пілка,1,1,0.8,0.3858953892128274
277,277,278,potoczny,поточний,1,1,1.0,0.284340241031515
278,278,279,poturbować,потурбувати,1,1,0.8571428571428571,0.49
279,279,280,powieść,повість,1,1,0.7142857142857143,0.6307910843566158
280,280,281,praska,праска,1,1,1.0,0.1872739677032805
281,281,282,przypadek,припадок,1,1,0.8235294117647058,0.4362479782232915
282,282,283,przyszły,прийшлий,1,1,0.875,0.49
283,283,284,puszka,пушка,1,1,0.7272727272727273,0.29100684600262683
284,284,285,rosół,розсіл,1,1,0.7272727272727273,0.4409703028631372
285,285,286,rydwan,ридван,1,1,0.8333333333333334,0.3008708633976857
286,286,287,składka,складка,1,1,1.0,0.22416539796811266
287,287,288,sklep,склеп,1,1,1.0,0.2727179818040484
288,288,289,słynny,слинний,1,1,0.8333333333333334,0.49
289,289,290,spółkować,спілкуватися,1,1,0.6363636363636364,0.49
290,290,291,sprawdzić,справдити,1,1,0.7777777777777778,0.49
291,291,292,stos,стіс,1,1,0.75,0.49
292,292,293,strata,страта,1,1,1.0,0.22674844393381924
293,293,294,stracić,стратити,1,1,0.6666666666666666,0.5343471830558623
294,294,295,strzelba,стрільба,1,1,0.8,0.4989067245284585
295,295,296,stryczek,стрічка,1,1,0.5333333333333333,0.1386103081307307
296,296,297,świt,світ,1,1,1.0,0.24932429508288068
297,297,298,szary,шари,1,1,0.5454545454545454,0.24674101443985946
298,298,299,szczegół,щиголь,1,1,0.875,0.16398704980272008
299,299,300,szczęka,щока,1,1,0.8571428571428571,0.4797311443126425
300,300,301,szczyt,щит,1,1,0.8333333333333334,0.19297350001200414
301,301,302,sztuka,штука,1,1,0.9090909090909092,0.3396951024387432
302,302,303,szyna,шина,1,1,1.0,0.4833971938375646
303,303,304,śruba,шуруп,1,1,0.5454545454545454,0.4546338716458205
304,304,305,tabor,табір,1,1,0.8,0.2595915373687861
305,305,306,talerz,талер,1,1,0.9090909090909092,0.2168948747352732
306,306,307,tańszy,тонший,1,1,0.4615384615384615,0.5043667214404064
307,307,308,trzon,трон,1,1,0.8888888888888888,0.10043557758306129
308,308,309,trzonek,троник,1,1,0.9230769230769232,0.49
309,309,310,udział,уділ,1,1,0.8,0.1374128124235263
310,310,311,urok,урок,1,1,0.75,0.23524029405145724
312,312,313,włoski,волоський,1,1,0.7692307692307693,0.28709883327071845
313,313,314,wniosek,висновок,1,1,0.6666666666666666,0.39043538971822056
314,314,315,wróbel,рубель,1,1,0.7272727272727273,0.23246026322450755
315,315,316,wyspa,віспа,1,1,0.8,0.2291101370453409
316,316,317,zasób,засіб,1,1,0.8,0.19780281328498234
317,317,318,zawód,завод,1,1,1.0,0.1695263386545959
318,318,319,zbrodnia,збрід,1,1,0.6153846153846154,0.49
319,319,320,zbroja,зброя,1,1,0.9090909090909092,0.48884079969606214
320,320,321,zbyt,збиток,1,1,0.6,0.2520054421312456
321,321,322,że,же,1,1,0.4,0.39926521966330186
322,322,323,zły,злий,1,1,1.0,0.4794410819130127
323,323,324,znaczek,значок,1,1,1.0,0.489987929815296
324,324,325,żołądek,жолудь,1,1,0.4285714285714285,0.3807233209775572
326,326,327,adidasy,адідаси,1,1,0.8571428571428571,0.49
327,327,328,awans,аванс,1,1,1.0,0.20649007982910694
328,328,329,awantura,авантюра,1,1,0.9411764705882352,0.47714711783461494
329,329,330,błoto,болото,1,1,0.9090909090909092,0.5300335536133473
330,330,331,bagno,багно,1,1,1.0,0.5015200057529198
331,331,332,bydło,бидло,1,1,0.6,0.3817500734709536
332,332,333,biegun,бігун,1,1,0.9090909090909092,0.24537594570612387
333,333,334,biesiada,бесіда,1,1,0.8571428571428571,0.30356395107604617
334,334,335,blacha,бляха,1,1,0.7272727272727273,0.4116731684165454
335,335,336,bok,бік,1,1,0.6666666666666666,0.3672445581449512
336,336,337,bratanek,братанчик,1,1,0.8888888888888888,0.49
337,337,338,bratanica,братанчик,1,1,0.7368421052631579,0.49
338,338,339,cierpienie,терпіння,1,1,0.5555555555555556,0.48918895419865666
339,339,340,chełm,холм,1,1,0.4444444444444444,0.2759186836852026
340,340,341,czasami,часами,1,1,1.0,0.2862932764543451
341,341,342,czeluść,челюсть,1,1,0.8,0.49
342,342,343,czubek,чубчик,1,1,0.8571428571428571,0.40675927625004715
343,343,344,czyhać,чхати,1,1,0.6666666666666666,0.4542800462153828
344,344,345,czyn,чин,1,1,0.75,0.2488823152105182
345,345,346,dosadny,досадний,1,1,1.0,0.49
346,346,347,duma,дума,1,1,1.0,0.44186460167449904
347,347,348,działo,діло,1,1,0.8,0.15344474226167745
348,348,349,deputat,депутат,1,1,1.0,0.4382899413617769
349,349,350,dewizy,девізи,1,1,0.8333333333333334,0.5600345308622013
350,350,351,dokonać,доконати,1,1,0.8,0.49
351,351,352,dzierżawa,держава,1,1,0.7058823529411765,0.30972707114345804
352,352,353,fara,фара,1,1,1.0,0.3535011703025962
353,353,354,gadać,гадати,1,1,0.7272727272727273,0.5682749477638959
354,354,355,garnitur,гарнітур,1,1,1.0,0.3968574967784033
355,355,356,głaz,глаз,1,1,0.75,0.23338391109158713
356,356,357,górny,гірний,1,1,0.8,0.26089876532668554
357,357,358,gracz,грач,1,1,1.0,0.3019873159379008
358,358,359,granatowy,гранатовий,1,1,1.0,0.5349289145231095
359,359,360,groza,гроза,1,1,1.0,0.29628527553366596
360,360,361,grzywna,гривня,1,1,0.7692307692307693,0.40223584977719123
361,361,362,hurma,хурма,1,1,1.0,0.48365207850804637
362,362,363,konieczny,кінцевий,1,1,0.5,0.36482704669383104
363,363,364,korale,корали,1,1,0.8333333333333334,0.5416219375541269
364,364,365,kozaki,козаки,1,1,1.0,0.2566880227420359
365,365,366,krysia,криса,1,1,0.7272727272727273,0.32717253055334
367,367,368,magazyn,магазин,1,1,0.8571428571428571,0.35830867080404094
368,368,369,magazynek,магазинчик,1,1,0.8,0.39594928416761255
369,369,370,malarz,маляр,1,1,0.9090909090909092,0.6265991255450354
370,370,371,młodzieniec,младенець,1,1,0.7368421052631579,0.49
371,371,372,mord,морда,1,1,0.8888888888888888,0.15401002144473097
372,372,373,mylny,мильний,1,1,0.8,0.33135109706152477
373,373,374,nagły,наглий,1,1,1.0,0.2880567156675628
374,374,375,obradować,порадувати,1,1,0.7368421052631579,0.4587774259457761
375,375,376,oddychać,відпочивати,1,1,0.5263157894736842,0.42412753548246396
376,376,377,ołów,олово,1,1,0.8888888888888888,0.545183763306578
377,377,378,osada,осада,1,1,1.0,0.4019349217482965
378,378,379,ożóg,ожог,1,1,0.6666666666666666,0.49
379,379,380,pacan,пацан,1,1,1.0,0.3416307603616063
380,380,381,pensja,пенсія,1,1,0.8333333333333334,0.46438882922004443
381,381,382,pień,пень,1,1,0.8571428571428571,0.3218251236069128
382,382,383,piłka,пилка,1,1,1.0,0.20729658478638427
384,384,385,piwnica,пивниця,1,1,1.0,0.4429650834369534
385,385,386,pluton,плутон,1,1,1.0,0.2846692255780872
386,386,387,postradać,постраждати,1,1,0.8,0.49
387,387,388,pozorny,позорний,1,1,0.8571428571428571,0.49
388,388,389,prosto,просто,1,1,1.0,0.3189164424020987
389,389,390,pukać,пукати,1,1,0.7272727272727273,0.49
390,390,391,rozerwać się,розірватися,1,1,0.5,0.49
391,391,392,rozkaz,розказ,1,1,0.8333333333333334,0.3039568570681258
393,393,394,smukła,смугла,1,1,0.8333333333333334,0.49
395,395,396,spisek,список,1,1,1.0,0.18890796514414376
396,396,397,sposobność,способність,1,1,0.7619047619047619,0.49
397,397,398,spotykać się,спотикатися,1,1,0.6,0.49
398,398,399,ssać,ссати,1,1,0.6666666666666666,0.6754822151395322
399,399,400,ssaki,саки,1,1,0.8888888888888888,0.16827246092933518
400,400,401,sutki,сутки,1,1,1.0,0.3592683905880971
401,401,402,szał,шаль,1,1,1.0,0.22393488471590461
402,402,403,śmietanka,сметанка,1,1,0.9411764705882352,0.5021434800938573
403,403,404,taras,тарас,1,1,1.0,0.24745600044279514
404,404,405,trawnik,травник,1,1,0.8571428571428571,0.3750781233373239
405,405,406,tykać,тикати,1,1,0.5454545454545454,0.677830531376951
406,406,407,ubić,вбити,1,1,0.4444444444444444,0.4877953998531689
407,407,408,upominać,споминати,1,1,0.7058823529411765,0.49
408,408,409,uważać,поважати,1,1,0.4,0.4897965514435151
409,409,410,woń,вонь,1,1,1.0,0.49
410,410,411,wygodny,вигідний,1,1,0.7142857142857143,0.5025199195037634
411,411,412,wzór,взір,1,1,0.75,0.3283918224586809
412,412,413,wzwód,взвод,1,1,1.0,0.18768923118946185
413,413,414,zabieg,забіг,1,1,0.9090909090909092,0.1954067602197141
414,414,415,zakon,закон,1,1,0.8,0.1743415810645177
415,415,416,zalotny,зальотний,1,1,1.0,0.49
417,417,418,zasada,засідка,1,1,0.7692307692307693,0.1898235484384426
418,418,419,zasnuć,заснути,1,1,0.7692307692307693,0.49
419,419,420,zimny,зимовий,1,1,0.7272727272727273,0.4244943329721781
421,421,422,gruby,грубий,1,1,1.0,0.49120266694392317
422,422,423,aktualny,актуальний,1,1,0.875,0.4916991441440579
423,423,424,brązowy,бронзовий,1,1,0.5,0.5682345357010534
424,424,425,korzystny,корисний,1,1,0.75,0.43595165132015107
425,425,426,łagodny,лагідний,1,1,0.8571428571428571,0.5770208873546336
426,426,427,luźny,лужний,1,1,0.8,0.27217259489958767
427,427,428,pyszny,пишний,1,1,1.0,0.30296298140047606
